Date,Open,High,Low,Close,Adj Close,Volume
9/6/2019,26773.13086,26790.78906,26563.16992,26690.75977,26690.75977,1895344700
9/5/2019,26512.85938,26697.84961,26283.11914,26515.5293,26515.5293,1996619100
9/4/2019,25675.16016,26654.21094,25675.16016,26523.23047,26523.23047,2688524600
9/3/2019,25546.32031,25736.05078,25498.10938,25527.84961,25527.84961,1149210200
9/2/2019,25627.83008,25662.31055,25502.69922,25626.55078,25626.55078,1295066700
8/30/2019,26011.64063,26011.64063,25536.15039,25724.73047,25724.73047,2017892000
8/29/2019,25606.33008,25714.7793,25372.49023,25703.5,25703.5,1784869100
8/28/2019,25767.08008,25830.64063,25596.08008,25615.48047,25615.48047,1462114400
8/27/2019,25715.98047,25764.60938,25581.73047,25664.07031,25664.07031,2214167200
8/26/2019,25322,25692.2793,25249.50977,25680.33008,25680.33008,2475604900
8/23/2019,26057.88086,26241.2207,25940.43945,26179.33008,26179.33008,1621440900
8/22/2019,26272.91016,26288.24023,25977.66992,26048.7207,26048.7207,1780728400
8/21/2019,26160.53906,26318.13086,26075.91016,26270.03906,26270.03906,1701479200
8/20/2019,26256.53906,26347.23047,26149.40039,26231.53906,26231.53906,1822936100
8/19/2019,25994.80078,26356.2207,25994.80078,26291.83984,26291.83984,2144882700
8/16/2019,25484.96094,25798.10938,25314.26953,25734.2207,25734.2207,2022477500
8/15/2019,24945.74023,25552.13086,24899.92969,25495.46094,25495.46094,2145864600
8/14/2019,25711.09961,25717.98047,25197.38086,25302.2793,25302.2793,1915522900
8/13/2019,25536.61914,25616.71094,25270.91016,25281.30078,25281.30078,1979089800
8/12/2019,25869.48047,26069.23047,25824.7207,25824.7207,25824.7207,1200393600
8/9/2019,26278.91992,26313.7793,25939.30078,25939.30078,25939.30078,1357616900
8/8/2019,25999.44922,26317.41992,25999.44922,26120.76953,26120.76953,1658129900
8/7/2019,25977.7207,26025.43945,25738.80078,25997.0293,25997.0293,1671335000
8/6/2019,25472.42969,26042.23047,25397.34961,25976.24023,25976.24023,2751867000
8/5/2019,26480.4707,26502.60938,26086.85938,26151.32031,26151.32031,2120745300
8/2/2019,26950.5293,27043.46094,26868.96094,26918.58008,26918.58008,2317609200
8/1/2019,27582.21094,27754.03906,27495.89063,27565.69922,27565.69922,1736444000
7/31/2019,27931.2793,27939.7207,27701.43945,27777.75,27777.75,1287084400
7/30/2019,28059.82031,28274.65039,28059.82031,28146.5,28146.5,1147561000
7/29/2019,28262.80078,28302.66016,27945.41016,28106.41016,28106.41016,1563572300
7/26/2019,28406.07031,28487.64063,28338.30078,28397.74023,28397.74023,1320699900
7/25/2019,28575.49023,28628.50977,28517.00977,28594.30078,28594.30078,974264600
7/24/2019,28578.14063,28764.5,28515.91992,28524.03906,28524.03906,1075821900
7/23/2019,28392.03906,28489.28906,28313.78906,28466.48047,28466.48047,950029300
7/22/2019,28612.2793,28649.43945,28303.55078,28371.25977,28371.25977,1104886500
7/19/2019,28585.15039,28809.58984,28551.19922,28765.40039,28765.40039,1261012300
7/18/2019,28393.03906,28511.65039,28376.5,28461.66016,28461.66016,925037300
7/17/2019,28463.76953,28593.16992,28377.33984,28593.16992,28593.16992,950441100
7/16/2019,28583.92969,28634.65039,28489.41016,28619.61914,28619.61914,1024681900
7/15/2019,28303.35938,28567.25,28071.18945,28554.88086,28554.88086,1317116400
7/12/2019,28401.86914,28603.86914,28399.66016,28471.61914,28471.61914,1204492700
7/11/2019,28347.85938,28582.68945,28347.85938,28431.80078,28431.80078,1067070900
7/10/2019,28245.08984,28311.7793,28144.86914,28204.68945,28204.68945,1013012100
7/9/2019,28299.73047,28312.9707,28080.73047,28116.2793,28116.2793,1218475000
7/8/2019,28513.14063,28541.09961,28194.07031,28331.68945,28331.68945,1250874300
7/5/2019,28785.5293,28880.58008,28714.91992,28774.83008,28774.83008,846919500
7/4/2019,28891.9707,29007.98047,28776.48047,28795.76953,28795.76953,928449700
7/3/2019,28781.9707,28891.89063,28721.21094,28855.14063,28855.14063,1291301500
7/2/2019,28904.03906,28959.06055,28768.53906,28875.56055,28875.56055,2110432700
6/28/2019,28632.58984,28632.58984,28416.96094,28542.61914,28542.61914,1486688000
6/27/2019,28352.93945,28621.41992,28287.33984,28621.41992,28621.41992,1679897500
6/26/2019,28046.16016,28267.98047,27985.98047,28221.98047,28221.98047,1431402200
6/25/2019,28447.96094,28470.09961,28066.13086,28185.98047,28185.98047,1851984100
6/24/2019,28400.63086,28634.48047,28358.06055,28513,28513,1338833200
6/21/2019,28581.50977,28581.50977,28359.25,28473.71094,28473.71094,2171897300
6/20/2019,28308.84961,28563.08008,28258.01953,28550.42969,28550.42969,1820185000
6/19/2019,28224.86914,28224.86914,28022.49023,28202.14063,28202.14063,2076060300
6/18/2019,27289.69922,27584.11914,27201.01953,27498.76953,27498.76953,1550614700
6/17/2019,27252.44922,27503.09961,27227.16016,27227.16016,27227.16016,1487266700
6/14/2019,27180.74023,27275.88086,27051.75,27118.34961,27118.34961,2031083500
6/13/2019,27217.7207,27294.71094,26825.34961,27294.71094,27294.71094,1846303100
6/12/2019,27603.11914,27603.11914,27222.0293,27308.46094,27308.46094,1866884200
6/11/2019,27677.06055,27857.84961,27577.91016,27789.33984,27789.33984,1824700000
6/10/2019,27206.60938,27606.41992,27155.0293,27578.64063,27578.64063,2272329600
6/6/2019,26935.86914,26984.01953,26837.66992,26965.2793,26965.2793,1601926500
6/5/2019,27116.08008,27119.48047,26803.66016,26895.43945,26895.43945,1894174900
6/4/2019,26994.08008,26994.08008,26671.90039,26761.51953,26761.51953,1527666000
6/3/2019,26909.71094,26968.09961,26735.48047,26893.85938,26893.85938,1716241600
5/31/2019,27002.96094,27155.35938,26850.26953,26901.08984,26901.08984,1829465900
5/30/2019,27319.25,27319.25,27020.73047,27114.88086,27114.88086,1884022200
5/29/2019,27226.94922,27429.36914,27178.71094,27235.71094,27235.71094,2236869000
5/28/2019,27274.83008,27490.55078,27230.08984,27390.81055,27390.81055,3043711500
5/27/2019,27239.08008,27371.34961,27105.2207,27288.08984,27288.08984,1264256500
5/24/2019,27368.67969,27457.58984,27291.93945,27353.92969,27353.92969,1677043500
5/23/2019,27505.5293,27523.85938,27169.66992,27267.13086,27267.13086,2219416000
5/22/2019,27753.53906,27828.81055,27640.61914,27705.93945,27705.93945,1705803400
5/21/2019,27671.40039,27915.16016,27598.06055,27657.24023,27657.24023,2229189200
5/20/2019,27959.23047,27999.59961,27699.23047,27787.60938,27787.60938,2260468500
5/17/2019,28428,28428,27909.73047,27946.46094,27946.46094,1922181900
5/16/2019,28117.48047,28379.36914,28050.7793,28275.07031,28275.07031,2372367500
5/15/2019,28171.32031,28441.49023,28171.32031,28268.71094,28268.71094,2244890100
5/14/2019,27951.11914,28205.96094,27925.61914,28122.01953,28122.01953,2875261200
5/10/2019,28462.33984,28833.44922,28203.2207,28550.24023,28550.24023,2421480000
5/9/2019,28839.34961,28891.10938,28281.98047,28311.07031,28311.07031,2907223700
5/8/2019,28987.08984,29252,28945.91016,29003.19922,29003.19922,2182802000
5/7/2019,29313.58008,29480.03906,29156.44922,29363.01953,29363.01953,1997665400
5/6/2019,29342.38086,29384.00977,28956.4707,29209.82031,29209.82031,2934065800
5/3/2019,29818.48047,30081.55078,29678.85938,30081.55078,30081.55078,1217388500
5/2/2019,29643.05078,29967.74023,29643.05078,29944.17969,29944.17969,1298906600
4/30/2019,29828.15039,29855.75977,29620.44922,29699.10938,29699.10938,1359023200
4/29/2019,29730.84961,29917.10938,29639.38086,29892.81055,29892.81055,1250717200
4/26/2019,29513.08008,29672.78906,29504.14063,29605.00977,29605.00977,1411001700
4/25/2019,29667.51953,29849.69922,29535.19922,29549.80078,29549.80078,1644483200
4/24/2019,30112.18945,30112.18945,29682.86914,29805.83008,29805.83008,1748986700
4/23/2019,29782.94922,30055.93945,29755.86914,29963.24023,29963.24023,2006226400
4/18/2019,30088.65039,30101.83008,29896.85938,29963.25977,29963.25977,1569930600
4/17/2019,30160.68945,30178.58008,30004.9707,30124.67969,30124.67969,2035147300
4/16/2019,29754.30078,30142.85938,29665.10938,30129.86914,30129.86914,2546181500
4/15/2019,30119.84961,30280.11914,29810.7207,29810.7207,29810.7207,2010638200
4/12/2019,29806.34961,29909.75977,29694.84961,29909.75977,29909.75977,1560692000
4/11/2019,30138.14063,30184.60938,29783.66992,29839.44922,29839.44922,1897154200
4/10/2019,30052.26953,30139.60938,29892.61914,30119.56055,30119.56055,1814064400
